Reading No,Reading Type,Duration,Main,Low,High,Light,Time,User,Sigma Value,Units,Mode,Pass/Fail,Pass/Fail Criteria,1: Escale,1: Resolution,2: Escale,2: Resolution
5376,System Check,101.549004,,,,,Fri Jun 19 2026 - 04:49:08,User,,ppm,System Check,Pass,,7.51849,143.188,7.51878,142.169
5377,Health Check,153.557999,,,,,Fri Jun 19 2026 - 04:49:51,User,,,Health Check,Pass,Detector Quality: 1.02 — Pass; Fault Free: Pass; Battery Health  98%: Pass; C#1 Voltage  3864 mV: Pass; C#2 Voltage  3861 mV: Pass; Tube Health: Pass; System Check: Reading #5376 - Pass; Filter Wheel Check: Pass; XRay LED Test: Pass; Wi-Fi: Pass; Bluetooth: Pass; GPS: Pass; ,,,,
5378,Mining,34.360001,,,,,Fri Jun 19 2026 - 04:50:51,User,1.5,ppm,Mining,,,,,,,,,,,Covica_S4_1.8mm_R2,33.4640 ± 30.0429,10.5109 ± 2.2575,<LOD=6.0532,662874.1250 ± 2117.6729,<LOD=2.7645,326487.4375 ± 626.7119,24.3539 ± 9.8094,<LOD=39.4375,<LOD=11.4890,40.6492 ± 5.8051,5991.5107 ± 88.9676,<LOD=0.0000,<LOD=5.1511,847.0209 ± 85.0796,1679.5443 ± 67.3131,<LOD=1.7878,<LOD=1.4262,14.2498 ± 6.8776,25.1848 ± 2.1118,<LOD=11.7741,3.6903 ± 1.7800,<LOD=0.0000,28.6181 ± 23.9593,<LOD=1.6426,49.8933 ± 10.4235,1761.9641 ± 4.9403,<LOD=0.0000,<LOD=2.7596,55.5127 ± 30.8850,<LOD=9.4885,<LOD=16.0360,<LOD=0.0000,<LOD=1.2400,72.3215 ± 4.6185,<LOD=4.3211
5379,Mining,19.052999,,,,,Fri Jun 19 2026 - 04:53:19,User,1.5,ppm,Mining,,,,,,,,,,,Covica_S4_1.8mm_R2,36.2265 ± 31.8666,14.2019 ± 2.3850,<LOD=6.7605,990144.7500 ± 299.1887,<LOD=2.7436,,20.7983 ± 9.3005,<LOD=42.7346,<LOD=105.5224,42.6569 ± 6.4105,5820.6851 ± 92.4027,<LOD=0.0000,<LOD=4.7140,,1705.5450 ± 74.0970,<LOD=2.9087,<LOD=1.6152,<LOD=15.3873,18.6635 ± 2.0853,<LOD=12.1560,4.3991 ± 1.9352,<LOD=0.0000,23.3325 ± 18.9854,<LOD=1.8516,32.8014 ± 10.5836,1816.4021 ± 5.2140,<LOD=0.0000,<LOD=3.9176,235.8024 ± 195.0888,7.9985 ± 4.2096,<LOD=236.8657,<LOD=0.0000,<LOD=1.3226,75.7560 ± 5.0780,<LOD=4.5369
5380,Mining,27.452,,,,,Fri Jun 19 2026 - 04:55:23,User,1.5,ppm,Mining,,,,,,,,,,,Covica_S4_1.8mm_R2,34.6447 ± 30.4764,9.8947 ± 2.1322,4.9333 ± 4.1724,992262.8750 ± 254.1069,<LOD=2.6714,,<LOD=20.1228,<LOD=35.2808,<LOD=83.2459,34.7688 ± 5.5607,4885.3047 ± 77.3111,<LOD=0.0000,<LOD=3.3974,,897.1426 ± 52.1320,<LOD=2.3626,<LOD=1.4523,12.8154 ± 6.7870,23.7963 ± 1.9746,<LOD=11.0234,<LOD=2.5010,<LOD=0.0000,<LOD=22.1448,<LOD=1.7024,<LOD=19.6008,1767.7006 ± 4.6456,<LOD=0.0000,<LOD=2.5897,<LOD=253.0947,7.3678 ± 3.7511,<LOD=212.2564,<LOD=0.0000,<LOD=1.1910,58.7312 ± 4.2063,<LOD=4.0581
5381,Mining,55.848999,,,,,Fri Jun 19 2026 - 05:15:35,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,39.6899 ± 35.6342,17.9351 ± 2.3228,<LOD=6.0816,653913.8750 ± 2008.2578,<LOD=2.5855,326485.5938 ± 345.8628,<LOD=18.3025,<LOD=58.7382,12.7590 ± 4.4783,26.7308 ± 5.2657,16346.5508 ± 133.7460,<LOD=0.0000,<LOD=5.4836,288.4612 ± 40.9831,698.3300 ± 46.1984,<LOD=2.5639,<LOD=1.4025,27.8533 ± 6.9051,21.1123 ± 1.9728,<LOD=11.6704,4.8483 ± 1.6710,<LOD=0.0000,<LOD=23.9838,<LOD=1.6631,<LOD=22.8885,1709.1208 ± 4.7713,<LOD=0.0000,<LOD=2.5735,279.8939 ± 16.6242,<LOD=5.4711,43.6440 ± 5.7490,<LOD=0.0000,<LOD=1.2400,68.3190 ± 4.4154,<LOD=4.1768,,,,,,
5382,Mining,10.609,,,,,Fri Jun 19 2026 - 05:18:15,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,36.1085 ± 31.7640,17.4618 ± 3.6854,<LOD=8.2934,980179.3750 ± 482.3002,<LOD=3.9082,,<LOD=29.9444,<LOD=92.0445,<LOD=164.6859,36.0748 ± 8.8773,16659.0430 ± 199.6700,<LOD=0.0000,<LOD=9.4125,,735.2766 ± 75.1476,<LOD=2.6347,<LOD=2.1374,46.1193 ± 11.8911,23.8855 ± 3.1727,<LOD=17.3818,<LOD=4.8303,<LOD=0.0000,<LOD=42.0906,<LOD=3.1442,43.6405 ± 15.2409,1667.1403 ± 7.2253,<LOD=0.0000,3.8712 ± 2.7693,489.4292 ± 273.1094,<LOD=14.1300,<LOD=256.6947,<LOD=0.0000,<LOD=2.2997,62.5459 ± 6.7835,<LOD=6.3050,,,,,,
5383,Mining,16.993999,,,,,Fri Jun 19 2026 - 05:20:16,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,37.6502 ± 33.1200,17.7381 ± 2.6282,<LOD=6.7402,980435.8125 ± 333.3098,<LOD=2.8982,,24.0552 ± 9.5233,<LOD=66.0562,<LOD=128.5231,21.8170 ± 5.8580,16570.1836 ± 142.0638,<LOD=0.0000,<LOD=4.3624,,680.3831 ± 52.0963,<LOD=1.9356,<LOD=2.1485,42.4489 ± 8.4745,24.1423 ± 2.2369,<LOD=13.7920,3.0231 ± 1.8112,<LOD=0.0000,<LOD=37.7701,<LOD=1.8223,<LOD=25.7273,1678.4479 ± 5.1606,<LOD=0.0000,<LOD=2.8440,283.6558 ± 187.6312,<LOD=6.0100,109.9681 ± 94.3789,<LOD=0.0000,<LOD=1.3401,70.6608 ± 5.0265,<LOD=4.5179,,,,,,
5384,Mining,18.49,,,,,Fri Jun 19 2026 - 05:20:48,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,32.6793 ± 28.7475,16.4792 ± 2.5141,5.7568 ± 4.4773,979977.5625 ± 312.4983,<LOD=2.7413,,<LOD=21.5876,<LOD=62.8971,<LOD=69.2187,26.0659 ± 5.6776,16945.6777 ± 136.1736,<LOD=0.0000,<LOD=3.6221,,704.9658 ± 49.8577,2.4248 ± 1.2249,<LOD=1.4243,30.8746 ± 7.5065,27.0292 ± 2.1832,<LOD=15.4716,<LOD=3.7613,<LOD=0.0000,17.7623 ± 16.0006,<LOD=1.7862,26.2705 ± 10.3176,1683.5555 ± 4.9140,<LOD=0.0000,<LOD=2.6936,257.0541 ± 177.0613,<LOD=6.3588,163.8333 ± 91.6511,<LOD=0.0000,<LOD=1.2550,82.0276 ± 5.0455,<LOD=4.2818,,,,,,
5385,Mining,19.934,,,,,Fri Jun 19 2026 - 05:24:21,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,<LOD=13.2462,14.1499 ± 2.1038,<LOD=5.5316,985699.1875 ± 319.3514,<LOD=2.4895,,<LOD=12.0255,<LOD=50.7603,<LOD=61.8836,22.5165 ± 5.0730,12289.4229 ± 111.5726,<LOD=0.0000,<LOD=3.2059,,405.6675 ± 38.6932,<LOD=1.6244,<LOD=1.3038,19.2769 ± 6.5923,17.9852 ± 1.8106,<LOD=10.2653,<LOD=3.6607,<LOD=0.0000,<LOD=21.0727,<LOD=1.5435,<LOD=13.7793,1468.8010 ± 4.2387,<LOD=0.0000,<LOD=2.8054,<LOD=377.3323,<LOD=6.1654,<LOD=146.0166,<LOD=0.0000,<LOD=1.1183,63.0379 ± 4.2263,<LOD=3.7023,,,,,,
5386,Mining,20.000999,,,,,Fri Jun 19 2026 - 05:25:02,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,<LOD=10.8088,17.3664 ± 2.1962,<LOD=5.1768,983776.7500 ± 320.2664,<LOD=2.1629,,<LOD=11.8408,<LOD=53.9064,<LOD=59.3837,27.0748 ± 5.1317,13998.6035 ± 116.0897,<LOD=0.0000,<LOD=3.6014,,535.1799 ± 41.4705,<LOD=2.4463,<LOD=1.3025,20.4330 ± 6.7018,20.6408 ± 1.8421,<LOD=10.1196,5.3935 ± 1.5111,<LOD=0.0000,<LOD=20.7755,<LOD=1.4526,<LOD=13.5723,1528.8053 ± 4.2759,<LOD=0.0000,<LOD=3.5030,<LOD=364.1320,<LOD=4.9032,<LOD=148.3218,<LOD=0.0000,<LOD=1.1399,69.7596 ± 4.3234,<LOD=3.7037,,,,,,
5387,Mining,38.305,,,,,Fri Jun 19 2026 - 05:25:58,User,1.5,ppm,,,,,Covica_S4_1.8mm_R2,Mining,<LOD=11.3405,10.3441 ± 1.9118,7.7329 ± 3.9894,634911.3750 ± 1895.5636,<LOD=2.1420,357109.5938 ± 493.9335,<LOD=12.0744,<LOD=33.9728,21.3049 ± 6.6960,23.4282 ± 4.6712,5399.7637 ± 76.1693,<LOD=0.0000,<LOD=3.0194,<LOD=157.5679,311.7029 ± 32.9020,2.7068 ± 1.1052,<LOD=1.2988,<LOD=9.1231,18.5839 ± 1.7578,<LOD=10.3054,3.7193 ± 1.5359,<LOD=0.0000,<LOD=21.3262,<LOD=1.5670,<LOD=13.8894,1742.2262 ± 4.4722,<LOD=0.0000,2.1488 ± 1.5390,396.0192 ± 20.5366,<LOD=5.0848,<LOD=9.3301,<LOD=0.0000,<LOD=1.1478,39.3470 ± 3.4179,<LOD=3.8821,,,,,,
5388,Mining,19.448,,,,,Fri Jun 19 2026 - 05:27:35,User,1.5,ppm,,,,,LG_Spring_0.63mm_R2,Mining,11.8657 ± 10.4385,13.2214 ± 2.0908,<LOD=5.4376,990697.6250 ± 226.3053,<LOD=2.3559,,<LOD=12.1122,<LOD=41.4981,<LOD=60.8088,23.0351 ± 5.0225,7421.8301 ± 90.4343,<LOD=0.0000,<LOD=3.8691,,268.8439 ± 34.5506,<LOD=1.6505,2.2765 ± 0.9105,<LOD=14.7581,19.7240 ± 1.8326,<LOD=10.4851,10.6926 ± 1.6172,<LOD=0.0000,<LOD=21.1805,<LOD=1.4718,<LOD=13.6632,1451.8647 ± 4.1635,<LOD=0.0000,2.8089 ± 1.6484,<LOD=246.5955,<LOD=4.9639,<LOD=118.2253,<LOD=0.0000,<LOD=1.4911,69.0262 ± 4.3280,7.2036 ± 2.4866,,,,,,
