Sample Location,Grain Size,Ag Mean,Ag Std,As Mean,As Std,Au Mean,Au Std,Cd Mean,Cd Std,Cr Mean,Cr Std,Cu Mean,Cu Std,Fe Mean,Fe Std,Mn Mean,Mn Std,Ni Mean,Ni Std,Pb Mean,Pb Std,Rb Mean,Rb Std,Sr Mean,Sr Std,Th Mean,Th Std,Ti Mean,Ti Std,U Mean,U Std,V Mean,V Std,Y Mean,Y Std,Zn Mean,Zn Std,Zr Mean,Zr Std
Covica_S3,0.63mm,19.5319,,11.5172,,,,,,15.7167,,36.7713,,10198.5322,,199.3162,,17.3237,,21.2476,,8.0534,,1496.0446,,,,313.4851,,17.496,,,,1.3748,,53.2553,,8.3682,
Covica_S3,1.18mm,24.07596666666667,4.871751260412764,23.6331,0.06569573806572042,5.2439,,,,19.7736,,48.55943333333334,7.979410760409151,13724.533866666667,453.01944656101,753.6564,200.63889158069523,24.697000000000003,11.487377876173486,26.581733333333332,2.703244364339513,,,1688.4796666666668,82.85908007028152,3.1583,,54.1666,8.58993317785418,20.867366666666666,1.8201615019918793,45.87863333333333,41.74269252124656,,,76.31513333333334,8.508650765740319,,
Covica_S3,1.8mm,29.76516666666667,12.890839390952527,20.153033333333333,2.284949969547108,,,15.639,,,,63.3984,9.386822450115906,13038.615266666666,3139.260939810159,187.49536666666665,41.77582342986592,23.287366666666667,5.5371428926237165,22.20253333333333,2.1344838119164384,,,1393.9711666666665,203.8949064211838,,,,,17.270866666666667,2.2764641976831816,,,1.3881,,78.3433,17.50027096133086,,
Covica_S4,0.63mm,29.7792,3.2443111426002287,13.199100000000001,3.4934374633017273,,,,,19.2548,,22.4525,1.5431912162787864,5705.702633333333,601.8564473367074,228.98569999999998,68.61091538436139,,,21.660366666666665,0.7216039102813501,7.2520500000000006,1.231992144861323,1575.479,12.972184076322693,,,247.23446666666666,54.25373392286778,9.092866666666666,0.5770149507017421,,,,,36.27006666666667,2.648842074064315,11.831949999999999,3.6316297174959895
Covica_S4,1.18mm,28.811700000000002,3.5174384813383726,10.0647,3.200487208223149,,,,,8.8025,,30.633799999999997,5.060116272379518,5881.6102,2135.0473054551644,252.3896,154.01916593667812,9.7027,,27.605933333333336,0.7051872399110267,15.08125,16.818605501200153,1556.4595666666667,46.615376183222274,,,256.50645,51.63428066512595,14.430333333333332,5.570269593415865,,,,,47.7756,17.309713183354596,5.1855,
Covica_S4,1.8mm,14.8683,6.330100086886463,10.5715,0.9289707261265013,,,,,,,28.7514,7.468350060756389,6087.0508,670.7548367125803,559.4109,198.9014133879144,10.9702,,19.697,0.9266342374421523,,,1332.6706000000001,67.76364213920324,,,152.426,,11.513866666666667,0.47200150776595257,,,1.5752,,48.6481,10.754140953139867,,
LG_Lake,0.63mm,20.624033333333333,2.6952905712248043,207.5674,3.4080332627484755,,,,,,,342.39183333333335,23.331119960330536,61709.9362,1329.887882403282,253.39656666666667,30.236568146919936,115.3485,4.2185876985076485,28.579133333333335,1.9420772624520708,,,1271.5846333333332,54.488000287157945,,,55.1524,,10.650766666666668,2.6885894449196464,,,,,397.32706666666667,17.891409099434693,6.4907,3.635518804792516
LG_Lake,1.18mm,26.538,2.602011533410258,214.28165,1.115178104609295,,,,,,,285.41369999999995,35.78653277449496,61265.5117,1823.5344848995624,233.38344999999998,51.98797547707547,105.33605,10.942265306827476,34.82045,1.9778483776568923,,,1353.68835,62.46899503053498,,,,,12.447600000000001,2.745837052703601,,,,,364.8488,18.86249765221983,21.5634,13.943155775505057
LG_Lake,1.8mm,28.037066666666664,6.942771637705893,196.85829999999999,29.700383769237728,,,,,,,261.3514,24.070750792819087,57445.601533333334,7359.961289528618,151.63596666666666,36.93483073229569,96.74783333333333,5.318789638943553,38.93136666666667,3.8361618244455378,,,1308.3122,108.3603588046847,,,,,15.322633333333334,2.052212392354488,,,,,247.78629999999998,27.341959050331422,12.4814,7.516969348081713
LG_Spring,0.63mm,20.582966666666668,1.613503003819125,6.0248333333333335,0.026983760548398742,6.5028,,,,,,16.9607,4.335605407552675,3416.635166666667,823.7701871693664,254.26176666666666,67.06114029557902,,,20.402933333333333,0.39469949750833594,,,1338.7905,229.31366985906004,,,164.50723333333335,18.866279164777936,11.185866666666668,0.5962230902383204,,,,,41.48113333333333,3.7846149729309775,7.7151499999999995,2.660913528283097
LG_Spring,1.18mm,28.7062,1.9881857936319738,8.468133333333332,1.2103693499644366,6.5746,1.0036673652161863,17.3574,,18.6432,,32.5386,5.255169543411514,4266.727533333334,207.29847806224575,308.2970666666667,193.78175017045166,,,25.376899999999996,1.4727723279583989,,,1697.5544666666665,141.9067171132618,,,201.4185,68.83019834476724,15.960666666666667,1.904789180810656,,,,,63.094766666666665,1.5347346491603469,,
LG_Spring,1.8mm,22.29835,1.1771206586412444,16.36825,0.36974613588244565,5.0704,,,,15.1467,,46.6713,4.8776225766248045,9083.0005,259.0226891794996,168.81805,56.246738198805794,,,25.261,0.7500988734826899,,,1562.5504,33.08708192663732,,,166.9503,,18.35735,1.9457457297910226,,,1.3618,,84.9364,3.677803790307471,5.9109,
